Descriptors,,,Core,,,,,,,,,,,,,,,,Supplemental,,,,,,,,,,,,,,,,Expansion,,
Item,Serving,Unit,g - mL,Kcal,Fat,Sat Fat,PUFA,MUFA,Na,K,Carb,Fiber,Sugar,Protein,VitA,VitC,Ca,Fe,VitD,VitE,VitK,B1,B2,B3,B6,B9,B12,Cu,I,Mg,Mn,P,Se,Zn,ω-3,Sol Fiber,
Molasses,1,tbsp,20,58,0,,,,7,,15,0,11,0,0%,0%,4%,5%,,,,,,,,,,,,12%,15%,,,,,,
Mushrooms (Baby Bella),3,oz,85,30,0,0,,,10,,4,2,1,3,0%,2%,0%,2%,,,,,,,,,,,,,,,,,,,
Mustard (Yellow),1,tsp,5,0,0,0,,,55,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
Neufchatel Cheese,1,oz,28,70,6,4,0,1.5,95,,2,0,1,2,4%,0%,4%,0%,,,,,,,,,,,,,,,,,,,
Nutella,2,tbsp,37,200,12,4,,,15,,21,1,21,2,0%,0%,4%,4%,,,,,,,,,,,,,,,,,,,
Oats (Rolled Old Fashioned),0.5,cup,40,150,2.5,0.5,1,1,0,,27,4,0,5,,,,10%,,,,,,,,,,,,,,,,,,2,
Oil (Canola),1,tbsp,14,120,14,1,4,9,0,,0,0,0,0,0%,0%,0%,0%,,,,,,,,,,,,,,,,,1279,,
Oil (Olive),1,tbsp,15,120,14,2,2,10,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
Oil (Sesame),1,tbsp,13,119,14,1.9,5.4,5.6,0,,0,0,0,0,0%,0%,0%,0%,,,,,,,,,,,,,,,,,40.5,,
Olives (Canned Black),2,tbsp,16,25,2,0,,,95,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,
OLIVIO Spread,1,tbsp,14,80,8,1.5,2,4.5,95,,0,,,0,10%,,,,20%,10%,,,,,,,,,,,,,,,,,
Onion,1,medium,110,44,0,0,,,4,161,10,2,5,1,0%,14%,3%,1%,,,,,,,,,,,,,10%,,,,,,
Orange (Raw Peeled),1,large,184,86,0,0,,,,333,32,4.4,17,2,8%,163%,7%,1%,,,,11%,,,7%,14%,,,,,,,,,,,
Orange Juice (Low Acid),8,fl oz,240,110,0,0,,,0,450,26,,22,2,4%,120%,10%,,,,,10%,,4%,6%,15%,,,,6%,,,,,,,
Papaya (Raw Cubed),1,cup,140,55,0,0,,,,360,14,3,8,1,31%,144%,3%,1%,,,,,,,,13%,,,,,,,,,,,
Parsley (Fresh),1,cup,60,22,0,0,0,0,34,332,4,2,1,2,101%,133%,8%,21%,,2%,1230%,3%,3%,4%,3%,23%,0%,,,,,,,,,,
Pasta (Barilla Plus),2,oz,56,210,2,0,1,0.5,25,,38,4,2,10,0%,0%,2%,10%,,,,10%,10%,10%,,20%,,,,,,,,,,,
Pasta (Barilla White),2,oz,56,200,1,0,,,0,,42,2,2,7,0%,0%,0%,10%,,,,35%,15%,15%,,30%,,,,,,,,,,,
Pasta (No Yolks Egg Noodles),2,oz,56,200,1,0,0.5,0,40,,40,2,2,8,0%,0%,2%,10%,,,,30%,15%,20%,,25%,,,,,,,,,,,
Peanut Butter (Skippy),2,tbsp,32,190,16,3.3,7.6,4.4,150,,6,2,3,7,0%,0%,0%,2%,,10%,,,,20%,,,,,,,,,,,,,
Pear (Raw With Skin),1,small ,148,86,0,0,,,,176,23,5,15,1,1%,10%,1%,1%,,,8%,,,,,,,6%,,,,,,,,,
Peas (Snow/Snap),1,cup,63,26,0,,,,3,,5,2,3,2,14%,63%,3%,7%,,,20%,,,,,,,,,,,,,,,,
Pepitas (Raw),1,oz,28,151,13,2,6,4,,226,5,1,,7,,,,23%,,,18%,,5%,,,4%,,,,37%,,33%,,14%,50.7,,
Pineapple (Canned Chunks),0.5,cup,122,70,0,0,,,0,150,16,1,15,0,0%,25%,0%,2%,,,,,,,,,,,,,,,,,,,
Pineapple (Fresh Chunks),1,cup,165,82,0,0,,,2,180,22,2,16,1,2%,131%,2%,3%,,,1%,9%,3%,4%,9%,7%,0%,9%,,5%,76%,1%,,1%,28.1,,
Pizza Dough (White),2,oz,48,122,0.5,0,,,276,,25,,1,4,0%,1%,1%,10%,,,,15%,10%,10%,,15%,,,,,,,,,,,
Pomegranate Seeds,0.5,cup,87,72,1,0,0,0,3,205,16,3,12,1,0%,15%,1%,1%,,,18%,,,,,,,,,,,,,,,,
Pork (Lean Ground),4,oz,113,270,20,7,,,80,,,,,20,,,2%,4%,,,,,,,,,,,,,,,,,,,
Protein Powder (Whey Vanilla),0.35,cup,32,130,1,0.5,0,,60,,5,0,3,24,0%,0%,10%,0%,,,,,,,,,,,,,,,,,,,
Pumpkin Puree (Canned),1,cup,245,83,1,,,,,505,20,7,8,3,763%,17%,6%,19%,,13%,49%,4%,8%,4%,7%,7%,,13%,,14%,18%,9%,,3%,19.6,,
Quinoa,1,cup,170,626,10,1,,,9,957,109,12,,24,0%,0%,8%,43%,,21%,,41%,32%,13%,41%,78%,,50%,,84%,173%,78%,21%,35%,522,,
Raisins,0.25,cup,40,130,0,0,,,10,310,31,2,29,1,0%,0%,2%,6%,,,,,,,,,,,,,,,,,,,
Raspberries,1,cup,123,64,1,0,,,1,186,15,8,5,1,1%,54%,3%,5%,,5%,12%,3%,3%,4%,3%,6%,0%,6%,,7%,41%,4%,,3%,155,,
Refried Beans (Vegetarian),0.5,cup,118,90,0.5,0,,,570,,16,5,0,5,0%,0%,2%,6%,,,,,,,,,,,,,,,,,,,
Relish (Sweet),1,tbsp,15,20,0,,,,90,,4,,2,0,,,,,,,,,,,,,,,,,,,,,,,
Rice (Brown Whole Grain),0.25,cup,42,150,1,0,,,0,100,32,1,0,3,0%,0%,0%,8%,,,,,,,,,,,,,,,,,,,
Rice (Extra Long Grain Enriched),0.25,cup,45,150,0,0,,,0,,35,0,0,3,0%,0%,0%,8%,,,,15%,,8%,,20%,,,,,,,,,,,
Salmon (Canned Pink In Water),2,oz,56,60,1.5,0.5,1,0,180,125,0,0,0,12,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,
Salmon (Cooked Dry Heat),3,oz,85,175,10,2,4,4,,326,,,,19,1%,5%,1%,2%,,,,19%,7%,34%,27%,7%,40%,,,,,21%,50%,,1921,,
Salt,0.25,tsp,1.5,0,0,,,,590,,0,,,0,,,,,,,,,,,,,,,45%,,,,,,,,
Scallion,1,medium,15,5,0,0,,,2,,1,0,0,0,3%,5%,1%,1%,,,39%,,,,,,,,,,,,,,,,
Sesame Seeds,1,tbsp,9,52,4.5,0.6,2,1.7,1,42,2.1,1.1,0,1.6,0%,0%,8%,7%,0%,,,,,,5%,,,18%,,8%,11%,6%,1%,,33.8,,
Sour Cream,1,cup,230,445,45,26,1.9,12,184,324,7,0,7,4.8,28%,3%,25%,2%,8%,,,,,,5%,,10%,,,5%,,,,,,,
Sour Cream (Reduced Fat),1,cup,242,326,29,18,1.1,8,215,312,10,0,0.4,7,18%,3%,25%,1%,5%,,,,,,,,11%,,,6%,,,,,,,
Soy Sauce (Low Sodium),1,tbsp,15,10,0,,,,575,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Spinach (Fresh),3,cup,85,20,0,0,,,65,470,3,2,0,2,160%,40%,8%,15%,,,510%,,10%,,,40%,,,,15%,40%,,,,,,
Strawberries (Whole),1,cup,144,46,0,0,,,1,220,11,3,7,1,0%,141%,2%,3%,,2%,4%,2%,2%,3%,3%,9%,,3%,,5%,28%,3%,1%,1%,93.6,,
Sugar (Brown Packed),1,cup,220,836,0,,,,62,,216,,213,0,,,18%,9%,,,,,,,,,,,,,,,,,,,
Sugar (Granulated),1,cup,200,774,0,,,,,,200,,200,0,,,,,,,,,,,,,,,,,,,,,,,
Sweet Potato,1,medium,114,103,0,0,,,41,541,24,4,7,2,438%,37%,4%,4%,,,,,,,16%,,,,,14%,50%,,,,,,
Tempeh (3-Grain),4,oz,113,240,11,2,6,2.5,10,,16,9,0,20,0%,0%,8%,15%,,,,,,,,,,,,,,,,,,,
Tofu (Fortified),3,oz,85,70,3,0,2,1,15,,2,0,0,7,0%,0%,20%,6%,,,,,,,,,,,,,,,,,,,
Tomato Catsup (Heinz),1,tbsp,17,20,0,0,,,160,,5,0,4,0,2%,2%,0%,0%,,,,,,,,,,,,,,,,,,,
